collab_id,influencer_name,handle,platform,date,brief,status_collab,followers,price_ex_vat,ig_post,ig_story,boosted,comments,country_code
,Zak Canner,zcannerh,instagram,2023-02-04,1,done,146809,86268,FALSE,TRUE,TRUE,Eolophus roseicapillus,NO
,Gloriana Gerasch,ggeraschi,youtube,2021-01-10,98765,done,556547,213228,TRUE,FALSE,FALSE,Zenaida asiatica,SE
,Maggee De Mitris,mdej,youtube,2021-05-05,45,done,256807,52700,FALSE,TRUE,FALSE,Eumetopias jubatus,DE
,Dyan Macveigh,dmacveighk,instagram,2021-07-18,2345,done,608898,13960,TRUE,FALSE,TRUE,Tiliqua scincoides,NO
,Valma Hammond,vhammondl,instagram,2020-10-15,45,done,777601,64224,FALSE,FALSE,TRUE,Felis chaus,NO
,Jana Learmonth,jlearmonthm,instagram,2022-10-03,2,booked,627980,109565,TRUE,FALSE,TRUE,Coendou prehensilis,NO
,Kassey Nussen,knussenn,instagram,2021-07-26,77,done,35775,291878,FALSE,FALSE,FALSE,Rhea americana,DE
,Barbabas Pointon,bpointono,other,2021-01-28,123,done,410247,105062,FALSE,TRUE,FALSE,Raphicerus campestris,NO
,Darn Rashleigh,drashleighp,twitch,2021-12-15,45,done,33633,226957,FALSE,TRUE,TRUE,Cebus albifrons,SE
,Jenifer Nordass,jnordassq,youtube,2021-07-26,55,done,984443,84374,TRUE,FALSE,FALSE,Geochelone elephantopus,SE
,Gigi MacMenamin,gmacmenaminr,youtube,2021-02-10,1,planning,252223,15835,FALSE,TRUE,FALSE,Macropus rufogriseus,FI
,Dane Purrier,dpurriers,youtube,2022-04-16,55,done,635251,157739,FALSE,TRUE,FALSE,Plegadis falcinellus,NO
,Jacquelynn Bonelle,jbonellet,instagram,2020-03-17,3,done,984006,36466,FALSE,FALSE,TRUE,Equus burchelli,SE
,Glory Kenrick,gkenricku,youtube,2022-09-28,67,done,600132,234083,FALSE,TRUE,TRUE,Bos taurus,NO
,Nels Ramstead,nramsteadv,twitch,2020-06-29,2,done,386336,237566,TRUE,FALSE,TRUE,Drymarchon corias couperi,NO
,Sandor Walstow,swalstoww,tiktok,2022-01-12,45,done,327937,35767,TRUE,TRUE,FALSE,Ratufa indica,FI
,Natalee Camidge,ncamidgex,twitch,2021-09-20,98765,done,68659,54630,TRUE,TRUE,FALSE,Raphicerus campestris,SE
,Sammie Hasson,shassony,instagram,2020-12-31,45,done,767580,231712,TRUE,FALSE,FALSE,Nycticorax nycticorax,DE
,Lowe Legerton,llegertonz,instagram,2022-07-23,98765,done,476255,291969,TRUE,FALSE,TRUE,Hystrix cristata,DE
,Minne Pietzke,mpietzke10,youtube,2021-12-23,44,done,337912,293867,TRUE,TRUE,TRUE,Priodontes maximus,SE
,Chloris Golden of Ireland,cgolden11,youtube,2022-06-30,98765,done,569469,160578,TRUE,FALSE,TRUE,Martes americana,FI
,Frants Pedlingham,fpedlingham12,youtube,2020-10-16,1,done,264874,33748,FALSE,FALSE,TRUE,Eumetopias jubatus,DE
,Lorena Mattioni,lmattioni13,youtube,2022-01-08,45,done,770840,241678,TRUE,TRUE,TRUE,Felis concolor,NO
,Derward Runsey,drunsey14,youtube,2022-11-13,98765,done,49318,296465,TRUE,TRUE,TRUE,Giraffe camelopardalis,NO
,Henryetta Medling,hmedling15,instagram,2022-10-27,44,done,58105,226369,TRUE,FALSE,TRUE,Potamochoerus porcus,DE
,Arabelle Andrieu,aandrieu16,twitch,2021-11-25,3,done,541382,169587,FALSE,FALSE,FALSE,Castor canadensis,NO
,Allin Mauro,amauro17,youtube,2020-11-07,66,done,475723,227445,FALSE,TRUE,FALSE,Milvago chimachima,NO
,Randi Latek,rlatek18,instagram,2022-05-30,456,cancelled,454746,13544,TRUE,FALSE,FALSE,Phascogale tapoatafa,NO
,Bentlee Grzegorek,bgrzegorek19,tiktok,2022-11-30,1,done,322048,290633,TRUE,TRUE,FALSE,Phasianus colchicus,DE
,Gerard McKmurrie,gmckmurrie1a,tiktok,2021-11-25,123,done,567932,274945,FALSE,TRUE,TRUE,Petaurus norfolcensis,SE
,Rod Spon,rspon1b,youtube,2020-06-10,3,done,754348,89969,FALSE,FALSE,FALSE,Ursus americanus,FI
,Marty Flarity,mflarity1c,youtube,2022-01-31,45,done,507794,13673,FALSE,TRUE,TRUE,Felis serval,DE
,Rivy Mullender,rmullender1d,youtube,2020-02-28,67,cancelled,78283,98556,FALSE,TRUE,TRUE,Aquila chrysaetos,DE
,Iver Woollam,iwoollam1e,instagram,2021-02-05,3,done,633688,29659,TRUE,FALSE,TRUE,Terathopius ecaudatus,NO
,Melody Gloucester,mgloucester1f,tiktok,2021-02-10,88,planning,894599,64008,FALSE,TRUE,TRUE,Smithopsis crassicaudata,FI
,Celka Sharman,csharman1g,youtube,2021-05-10,2345,booked,345042,15560,FALSE,TRUE,TRUE,Fratercula corniculata,NO
,Sydel Tomlin,stomlin1h,instagram,2020-09-22,45,done,915326,21433,TRUE,TRUE,FALSE,Felis wiedi or Leopardus weidi,DE
,Emanuele Achrameev,eachrameev1i,instagram,2022-08-05,456,done,954592,148484,FALSE,FALSE,TRUE,Arctogalidia trivirgata,SE
,Othilie Cressor,ocressor1j,youtube,2021-01-21,123,done,867007,51438,FALSE,FALSE,TRUE,Felis libyca,FI
,Durante Goggins,dgoggins1k,blog,2021-07-18,3,done,911701,26341,FALSE,TRUE,FALSE,Microcebus murinus,FI
,Hertha Wordley,hwordley1l,instagram,2021-01-26,1,done,338023,10100,FALSE,FALSE,FALSE,Smithopsis crassicaudata,NO
,Corey Scurr,cscurr1m,tiktok,2022-05-15,2345,done,598413,271768,FALSE,TRUE,TRUE,Lepus townsendii,NO
,Charmaine Liepmann,cliepmann1n,blog,2020-07-12,77,done,47772,239713,FALSE,FALSE,FALSE,Pycnonotus nigricans,FI
,Ginnie Bisgrove,gbisgrove1o,tiktok,2021-12-17,3,done,360466,223478,FALSE,FALSE,TRUE,Felis libyca,NO
,Latrina Puckinghorne,lpuckinghorne1p,twitch,2021-07-06,456,done,936184,102896,FALSE,TRUE,FALSE,Thylogale stigmatica,NO
,Emmie Roos,eroos1q,tiktok,2022-04-04,77,done,209558,237569,TRUE,TRUE,TRUE,Lama pacos,DE
,Averyl Somes,asomes1r,blog,2022-04-29,77,done,206744,110460,TRUE,FALSE,TRUE,Aegypius tracheliotus,DE
,Laurence Sheeres,lsheeres1s,instagram,2022-11-22,2,done,138383,203666,FALSE,FALSE,TRUE,Ninox superciliaris,NO
,Lucita Gillian,lgillian1t,instagram,2020-08-10,67,done,844055,131694,TRUE,TRUE,TRUE,Paraxerus cepapi,DE
,Catarina Mahaffey,cmahaffey1u,instagram,2022-09-21,123,cancelled,308548,63612,TRUE,TRUE,FALSE,Uraeginthus angolensis,NO
,Teresita Placide,tplacide1v,other,2023-02-07,1,cancelled,194452,81190,FALSE,TRUE,TRUE,Buteo regalis,NO
,Jocelyne Vawton,jvawton1w,youtube,2022-06-05,98765,cancelled,676500,20659,TRUE,TRUE,TRUE,Macropus agilis,DE
,Lambert Keuntje,lkeuntje1x,instagram,2022-08-24,55,done,558967,238803,TRUE,FALSE,TRUE,Sula dactylatra,SE
,Abbi Derill,aderill1y,blog,2022-04-28,44,planning,815188,199123,FALSE,TRUE,TRUE,Plegadis ridgwayi,SE
,Charlean Petrushkevich,cpetrushkevich1z,blog,2021-05-14,98765,booked,665551,248390,FALSE,FALSE,FALSE,Colobus guerza,FI
,Josee Thomel,jthomel20,other,2021-07-02,88,done,926258,194286,FALSE,FALSE,TRUE,Libellula quadrimaculata,DE
,Juliet Lowrey,jlowrey21,instagram,2022-05-05,1,planning,621748,159526,FALSE,TRUE,FALSE,Laniaurius atrococcineus,DE
,Tammy Ilett,tilett22,twitch,2021-09-30,2345,planning,624546,123382,TRUE,FALSE,FALSE,Odocoilenaus virginianus,SE
,Patric McMechan,pmcmechan23,youtube,2021-07-24,2345,planning,75909,157782,TRUE,TRUE,TRUE,Odocoileus hemionus,FI
,Blondelle Reardon,breardon24,instagram,2021-10-07,88,done,530795,136420,TRUE,FALSE,TRUE,Nesomimus trifasciatus,FI
,Felisha McCray,fmccray25,youtube,2021-06-04,55,done,412429,276296,FALSE,TRUE,TRUE,Bubalus arnee,FI
,Francesca Tregoning,ftregoning26,instagram,2020-12-05,3,done,955967,236807,FALSE,TRUE,FALSE,Prionace glauca,NO
,Simonette Dare,sdare27,youtube,2021-11-09,88,done,746946,165720,FALSE,TRUE,FALSE,Hippotragus equinus,DE
,Evie Jeandin,ejeandin28,instagram,2022-06-04,3,done,889945,267057,TRUE,TRUE,FALSE,Zenaida asiatica,FI
,Patton Carbine,pcarbine29,tiktok,2022-10-11,77,done,86092,217639,TRUE,FALSE,TRUE,Ardea cinerea,FI
,Rasla Loft,rloft2a,instagram,2022-06-02,2,done,113450,149404,FALSE,TRUE,FALSE,Merops nubicus,DE
,Urbain Geffinger,ugeffinger2b,twitch,2020-07-21,77,planning,79483,261932,FALSE,TRUE,FALSE,Dasyurus viverrinus,SE
,Evanne Coneron,econeron2c,twitch,2020-08-11,454,done,999124,12347,FALSE,TRUE,FALSE,Picoides pubescens,SE
,Shelba Bulpitt,sbulpitt2d,tiktok,2020-07-29,3,done,390510,22581,FALSE,TRUE,TRUE,Streptopelia senegalensis,SE
,Nissa Jefferys,njefferys2e,youtube,2023-01-22,98765,done,749892,236887,FALSE,FALSE,TRUE,Acrantophis madagascariensis,DE
,Marti Melvin,mmelvin2f,blog,2021-07-25,456,planning,36194,219875,TRUE,TRUE,TRUE,Choloepus hoffmani,SE
,Hermy Foxwell,hfoxwell2g,instagram,2021-06-02,456,done,585912,52523,FALSE,TRUE,TRUE,Castor fiber,FI
,Moishe Dallmann,mdallmann2h,instagram,2022-09-02,88,done,284052,163145,TRUE,TRUE,TRUE,Alopex lagopus,NO
,Jefferey Agnew,jagnew2i,instagram,2021-07-16,67,done,147983,35260,TRUE,FALSE,TRUE,Lybius torquatus,SE
,Clifford Ambrois,cambrois2j,instagram,2021-06-30,44,done,798243,219986,TRUE,FALSE,TRUE,Ursus arctos,FI
,Wilona Leighfield,wleighfield2k,tiktok,2021-08-07,3,done,195533,178037,FALSE,TRUE,FALSE,Bubalornis niger,NO
,Meade Hubatsch,mhubatsch2l,instagram,2022-01-06,66,done,623720,214058,TRUE,TRUE,TRUE,Felis concolor,SE
,Cary Loudian,cloudian2m,instagram,2021-12-06,88,booked,157753,113938,FALSE,TRUE,TRUE,Tachybaptus ruficollis,DE
,Amaleta Dauber,adauber2n,blog,2020-09-17,98765,done,800871,22822,TRUE,TRUE,FALSE,Mephitis mephitis,FI
,Win Parratt,wparratt2o,youtube,2022-07-14,55,cancelled,488556,280308,FALSE,TRUE,FALSE,Laniarius ferrugineus,DE
,Shara Mair,smair2p,instagram,2022-01-25,456,done,636551,121367,FALSE,TRUE,FALSE,Colobus guerza,NO
,Jenna Prescot,jprescot2q,tiktok,2020-02-24,1,done,595048,222254,FALSE,TRUE,FALSE,Corvus brachyrhynchos,SE
,Stearne Portchmouth,sportchmouth2r,youtube,2021-11-12,55,done,314249,165024,FALSE,TRUE,TRUE,Varanus sp.,DE
,Newton Bell,nbell2s,instagram,2022-05-14,98765,done,850068,222332,FALSE,FALSE,FALSE,Larus dominicanus,SE
,Jacynth Coomer,jcoomer2t,twitch,2022-11-03,456,done,829011,84501,FALSE,TRUE,FALSE,Canis latrans,NO
,Moise Barok,mbarok2u,tiktok,2021-01-28,1,done,768848,193521,FALSE,FALSE,TRUE,Dicrostonyx groenlandicus,FI
,Stacey Sizzey,ssizzey2v,instagram,2021-10-11,67,done,426170,77849,TRUE,FALSE,TRUE,Upupa epops,DE
,Enrico Del Dello,edel2w,instagram,2020-05-28,1,done,465905,160823,TRUE,FALSE,FALSE,Tiliqua scincoides,SE
,Barbe Armall,barmall2x,youtube,2021-11-16,77,planning,960749,262464,FALSE,TRUE,TRUE,Ammospermophilus nelsoni,NO
,Cicely Ida,cida2y,youtube,2021-04-02,454,cancelled,837783,220613,FALSE,TRUE,TRUE,Amblyrhynchus cristatus,DE
,Bennett Tester,btester2z,instagram,2022-10-15,67,done,257451,105715,FALSE,FALSE,FALSE,Tockus flavirostris,DE
,Adelle O'Mullally,aomullally30,instagram,2020-03-14,44,done,950127,248693,TRUE,TRUE,TRUE,Anthropoides paradisea,FI
,Bondy Chappelle,bchappelle31,other,2020-03-06,456,planning,696773,214275,TRUE,TRUE,TRUE,Dicrostonyx groenlandicus,SE
,Fleming Adnam,fadnam32,twitch,2022-06-05,44,done,845001,55515,FALSE,TRUE,TRUE,Mazama gouazoubira,FI
,Davis Castelletto,dcastelletto33,instagram,2022-12-14,67,booked,909567,209545,FALSE,TRUE,TRUE,Tragelaphus strepsiceros,FI
,Eleen McKeran,emckeran34,blog,2021-06-18,123,done,999778,48859,TRUE,FALSE,TRUE,Colaptes campestroides,FI
,Jud Saur,jsaur35,instagram,2021-07-30,456,done,817770,47759,TRUE,TRUE,TRUE,Perameles nasuta,NO
,Dana Blakelock,dblakelock36,instagram,2022-12-07,44,done,282069,175625,FALSE,TRUE,FALSE,Ara macao,DE
,Esme Compton,ecompton37,blog,2021-01-24,45,done,251404,263691,TRUE,FALSE,FALSE,Taurotagus oryx,SE
,Tallia Vasiliu,tvasiliu38,youtube,2022-06-04,1,done,596006,91575,TRUE,FALSE,TRUE,Tiliqua scincoides,DE
,Joella Roscamp,jroscamp39,tiktok,2020-12-05,3,done,271885,37665,TRUE,FALSE,TRUE,Mycteria leucocephala,FI
,Jenni De Ambrosi,jde3a,other,2021-11-03,3,done,470863,213906,TRUE,TRUE,TRUE,Cathartes aura,NO
,Valentia Bendixen,vbendixen3b,youtube,2021-01-27,2345,done,293098,105764,FALSE,FALSE,FALSE,Antidorcas marsupialis,DE
,Perceval Adran,padran3c,youtube,2020-12-13,44,planning,824287,83668,TRUE,TRUE,TRUE,Choloepus hoffmani,FI
,Pascal Ferencz,pferencz3d,instagram,2022-10-27,454,done,477473,207529,TRUE,TRUE,TRUE,Zenaida galapagoensis,SE
,Nicolais Rops,nrops3e,blog,2021-02-04,88,done,323180,14046,TRUE,TRUE,FALSE,Papio cynocephalus,NO
,Alfie Wims,awims3f,instagram,2022-09-14,44,done,955065,278640,TRUE,TRUE,TRUE,Vombatus ursinus,SE
,Zea Hansana,zhansana3g,youtube,2022-05-27,66,done,263345,94525,FALSE,FALSE,TRUE,Felis caracal,FI
,Chandler Lamberteschi,clamberteschi3h,youtube,2023-01-17,454,done,762148,256819,FALSE,TRUE,FALSE,Hippotragus niger,DE
,Forest Malyj,fmalyj3i,youtube,2020-09-04,55,cancelled,727773,229534,TRUE,FALSE,FALSE,Phalacrocorax niger,DE
,Isak Hornbuckle,ihornbuckle3j,instagram,2023-01-12,454,done,281166,143175,TRUE,FALSE,TRUE,Tapirus terrestris,NO
,Tamera Hammerton,thammerton3k,instagram,2022-09-10,44,done,635776,262263,FALSE,TRUE,TRUE,Acrantophis madagascariensis,FI
,Fons Concklin,fconcklin3l,youtube,2020-10-10,55,done,42551,106235,TRUE,FALSE,FALSE,Amblyrhynchus cristatus,DE
,Birch Lodford,blodford3m,youtube,2022-09-05,67,done,554229,162377,FALSE,FALSE,FALSE,Chlidonias leucopterus,FI
,Lester Passingham,lpassingham3n,instagram,2021-02-13,2345,done,902244,25493,FALSE,FALSE,FALSE,Bubalornis niger,NO
,Gratiana Dixcey,gdixcey3o,instagram,2022-04-19,77,done,477357,250221,TRUE,FALSE,TRUE,Lemur fulvus,FI
,Tallie Faragan,tfaragan3p,youtube,2022-06-03,45,done,685141,103108,FALSE,FALSE,TRUE,Redunca redunca,SE
,Tamarra Kayne,tkayne3q,youtube,2021-12-17,456,done,213439,64631,FALSE,FALSE,FALSE,Papio cynocephalus,DE
,Gertrud Cleaves,gcleaves3r,instagram,2021-06-28,88,cancelled,171818,120602,FALSE,FALSE,TRUE,Paraxerus cepapi,FI
,Emyle Cobbledick,ecobbledick3s,instagram,2022-07-31,2345,done,430288,141376,TRUE,FALSE,TRUE,Macaca mulatta,NO
,Flem Calf,fcalf3t,tiktok,2022-11-01,456,done,41915,197803,FALSE,FALSE,TRUE,Lepilemur rufescens,NO
,Kimble MacWilliam,kmacwilliam3u,instagram,2022-06-22,2,done,785428,146039,FALSE,TRUE,FALSE,Epicrates cenchria maurus,SE
,Nicky Nairy,nnairy3v,instagram,2022-09-30,45,done,945113,287975,TRUE,FALSE,FALSE,Marmota monax,DE
,Granny Danelutti,gdanelutti3w,youtube,2020-09-30,1,planning,858174,227604,TRUE,FALSE,FALSE,Chionis alba,DE
,Ellene Kemp,ekemp3x,youtube,2022-03-06,45,done,701565,146782,FALSE,FALSE,FALSE,Ovibos moschatus,SE
,Kathleen Lewsie,klewsie3y,youtube,2022-08-29,55,booked,425447,269259,TRUE,FALSE,TRUE,Damaliscus dorcas,FI
,Malissia Bernot,mbernot3z,instagram,2021-11-01,77,planning,840743,16786,FALSE,FALSE,TRUE,Hymenolaimus malacorhynchus,NO
,Phyllis Caswall,pcaswall40,youtube,2020-07-29,66,done,882532,119923,TRUE,TRUE,TRUE,Ardea golieth,DE
,Cullen Mossman,cmossman41,youtube,2020-05-21,2,done,20897,67040,FALSE,TRUE,TRUE,Gopherus agassizii,SE
,Anne-marie Mc Ilwrick,amc42,other,2022-12-04,98765,done,954851,94267,FALSE,FALSE,FALSE,Dasypus septemcincus,SE
,Lyndy Fitchet,lfitchet43,youtube,2022-07-11,2,done,246112,140755,FALSE,FALSE,FALSE,Macropus agilis,FI
,Bobbie Willmetts,bwillmetts44,tiktok,2020-03-06,88,booked,277891,184887,FALSE,FALSE,TRUE,Mazama americana,SE
,Torie Trays,ttrays45,youtube,2022-02-17,2,done,403340,25333,FALSE,TRUE,FALSE,unavailable,SE
,Batholomew Behne,bbehne46,youtube,2022-05-17,67,done,123839,246736,FALSE,TRUE,TRUE,Columba livia,NO
,Collette Dunstan,cdunstan47,instagram,2021-03-26,98765,done,367295,296129,FALSE,TRUE,FALSE,Lycaon pictus,SE
,Dorise Kenna,dkenna48,youtube,2020-06-10,88,done,664653,129852,TRUE,FALSE,FALSE,Haematopus ater,NO
,Moyna Bland,mbland49,other,2021-08-19,55,done,340788,61564,FALSE,FALSE,FALSE,Loris tardigratus,DE
,Clemmy Bremen,cbremen4a,instagram,2020-11-20,3,booked,906079,135394,TRUE,TRUE,TRUE,Marmota flaviventris,FI
,Bevvy Espadas,bespadas4b,tiktok,2020-02-26,67,done,628395,74556,TRUE,TRUE,TRUE,Estrilda erythronotos,NO
,Aldridge Finder,afinder4c,youtube,2021-06-18,454,done,41142,105139,FALSE,TRUE,TRUE,Trachyphonus vaillantii,SE
,Jillane Sherston,jsherston4d,youtube,2022-04-25,98765,done,454518,248411,TRUE,FALSE,FALSE,Macaca mulatta,NO
,Lois Pucknell,lpucknell4e,youtube,2021-11-20,88,done,333132,129044,TRUE,FALSE,TRUE,Zosterops pallidus,NO
,Andrea Cattle,acattle4f,twitch,2021-01-21,66,done,217993,85237,FALSE,FALSE,TRUE,Macropus robustus,NO
,Alidia Regorz,aregorz4g,youtube,2022-09-19,67,done,835168,299956,TRUE,FALSE,TRUE,Dendrocitta vagabunda,FI
,Wainwright Silvester,wsilvester4h,instagram,2020-05-16,123,done,763167,149332,FALSE,FALSE,TRUE,Macropus robustus,FI
,Franny Chang,fchang4i,twitch,2022-07-16,454,planning,484906,156258,TRUE,TRUE,FALSE,Hymenolaimus malacorhynchus,DE
,Gram Matthiesen,gmatthiesen4j,blog,2020-04-03,2,done,351742,224563,FALSE,FALSE,TRUE,Dusicyon thous,FI
,Ambur Monkhouse,amonkhouse4k,twitch,2021-01-23,55,done,343742,12852,TRUE,FALSE,FALSE,Francolinus swainsonii,DE
,Cliff Twidle,ctwidle4l,tiktok,2020-02-22,88,done,289445,169118,FALSE,FALSE,FALSE,Phaethon aethereus,FI
,Ozzy Lemmens,olemmens4m,instagram,2022-10-24,88,done,989849,53469,FALSE,TRUE,TRUE,Lasiodora parahybana,NO
,Corenda Murdy,cmurdy4n,tiktok,2020-08-14,2345,done,968051,248740,TRUE,TRUE,FALSE,Falco mexicanus,SE
,Jackquelin Saker,jsaker4o,instagram,2021-04-23,77,done,931561,196165,TRUE,TRUE,TRUE,Heloderma horridum,NO
,Pieter Girke,pgirke4p,instagram,2022-06-12,66,done,320895,161772,TRUE,FALSE,FALSE,Aonyx cinerea,DE
,Immanuel Kirkham,ikirkham4q,twitch,2021-08-17,2,done,744337,105250,TRUE,TRUE,TRUE,Macropus agilis,SE
,Manya Hallick,mhallick4r,other,2022-12-15,55,cancelled,855665,117777,FALSE,TRUE,TRUE,Bos mutus,SE
,Iain Abrahams,iabrahams4s,blog,2022-08-18,3,booked,640207,46256,FALSE,FALSE,TRUE,Anastomus oscitans,FI
,Clarette Micklewright,cmicklewright4t,tiktok,2021-09-09,44,done,63110,246922,TRUE,FALSE,FALSE,Pelecans onocratalus,SE
,Caritta Barabisch,cbarabisch4u,tiktok,2021-03-01,77,done,928177,56445,FALSE,FALSE,TRUE,Crotalus cerastes,DE
,Cammy Boddy,cboddy4v,youtube,2022-04-14,3,done,31977,176520,TRUE,TRUE,FALSE,Bos frontalis,FI
,Cherey Scurlock,cscurlock4w,tiktok,2023-02-06,1,done,953406,192973,FALSE,TRUE,TRUE,Picoides pubescens,FI
,Alfie Racine,aracine4x,instagram,2020-12-03,123,done,845673,144283,TRUE,FALSE,TRUE,Dusicyon thous,SE
,Arlyn Sayse,asayse4y,twitch,2022-10-14,88,done,54652,84178,TRUE,FALSE,FALSE,Coracias caudata,FI
,Jeniece Todd,jtodd4z,tiktok,2020-03-06,77,done,152680,229719,FALSE,FALSE,TRUE,Iguana iguana,DE
,Truman Dellenbrok,tdellenbrok50,tiktok,2022-03-27,77,done,183159,113724,TRUE,FALSE,FALSE,Gyps bengalensis,NO
,Stephanus Boote,sboote51,tiktok,2021-07-02,98765,done,46499,289611,TRUE,TRUE,TRUE,Ceratotherium simum,FI
,Valentine Bingle,vbingle52,youtube,2020-05-24,45,done,575419,128712,FALSE,TRUE,TRUE,Tachybaptus ruficollis,SE
,Forrester Jeffree,fjeffree53,youtube,2022-04-03,454,done,712079,121176,FALSE,TRUE,TRUE,Lama guanicoe,FI
,Free Philot,fphilot54,youtube,2021-11-18,98765,planning,83601,210922,TRUE,TRUE,TRUE,Bettongia penicillata,SE
,Maddie Valencia,mvalencia55,other,2022-01-06,456,done,501931,127087,TRUE,TRUE,FALSE,Manouria emys,NO
,Karyl Maidlow,kmaidlow56,blog,2021-09-03,66,done,936593,94642,FALSE,FALSE,FALSE,Heloderma horridum,NO
,Golda Piotrkowski,gpiotrkowski57,blog,2020-04-09,1,done,657779,99048,TRUE,FALSE,FALSE,Anas punctata,DE
,Horatius Beddon,hbeddon58,tiktok,2022-08-27,1,done,293616,10306,TRUE,FALSE,FALSE,Balearica pavonina,SE
,Rodolfo Stittle,rstittle59,other,2022-05-19,3,done,616330,158704,FALSE,TRUE,TRUE,Lamprotornis chalybaeus,SE
,Hewitt Greenhill,hgreenhill5a,instagram,2022-06-18,2345,booked,652641,275656,TRUE,TRUE,TRUE,Canis latrans,FI
,Theodoric Bates,tbates5b,instagram,2022-11-24,1,done,545573,29528,FALSE,FALSE,TRUE,Ovis ammon,FI
,Greta Capeling,gcapeling5c,instagram,2022-12-06,45,done,872880,219868,TRUE,TRUE,FALSE,Felis chaus,FI
,Adolphe Liddiatt,aliddiatt5d,instagram,2020-12-26,67,done,455679,264621,FALSE,TRUE,FALSE,Naja nivea,FI
,Gran Olesen,golesen5e,tiktok,2020-07-23,88,done,594913,14835,FALSE,TRUE,FALSE,Vombatus ursinus,FI
,Ethelred Dewsbury,edewsbury5f,other,2021-03-08,98765,done,193780,181126,TRUE,FALSE,FALSE,Cervus canadensis,SE
,Ashleigh Walas,awalas5g,instagram,2022-09-02,3,done,50089,201094,FALSE,FALSE,FALSE,Lepus townsendii,NO
,Alisha Plowell,aplowell5h,youtube,2022-02-24,2,planning,948737,121542,TRUE,FALSE,FALSE,Kobus defassa,SE
,Bank Bellison,bbellison5i,other,2021-02-23,45,done,954949,227238,TRUE,TRUE,TRUE,Alligator mississippiensis,SE
,Waldemar Sperring,wsperring5j,instagram,2020-06-27,44,cancelled,440992,156663,FALSE,FALSE,FALSE,Phasianus colchicus,DE
,Allan Tween,atween0,youtube,2022-05-13,55,done,814153,147700,FALSE,FALSE,TRUE,Ciconia ciconia,NO
,Raphaela Sweet,rsweet1,youtube,2022-04-09,98765,planning,219604,241442,TRUE,FALSE,TRUE,Manouria emys,DE
,Elwira Perceval,eperceval2,blog,2020-12-05,67,done,612022,295369,FALSE,FALSE,TRUE,Macropus eugenii,NO
,Virgilio Mace,vmace3,instagram,2021-06-18,66,done,514015,80988,TRUE,FALSE,TRUE,Semnopithecus entellus,DE
,Rosabelle Goodfellow,rgoodfellow4,instagram,2021-12-15,55,booked,812903,69367,FALSE,FALSE,TRUE,Macropus rufogriseus,FI
,Bridgette Wardlow,bwardlow5,other,2021-02-04,77,done,471882,151631,TRUE,TRUE,FALSE,Sauromalus obesus,DE
,Rollins Lightbourn,rlightbourn6,instagram,2021-02-27,1,done,314673,193308,TRUE,FALSE,FALSE,Dusicyon thous,SE
,Guillemette Coghlan,gcoghlan7,youtube,2022-02-01,2,done,167466,66146,TRUE,TRUE,FALSE,Dasypus septemcincus,DE
